EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,ntee_category
111839362,NEWYORK-PRESBYTERIAN-QUEENS,% KEVIN WARD,5645 MAIN ST,FLUSHING,NY,11355-5045,0,3,3,1000,197902,1,12,150000000,1,1,202312.0,9,9,1,0,12,860713694.0,1536285359.0,1083169315.0,E22,,Health - General and Rehabilitative
110613430,CEDAR GROVE CEMETERY ASSOCIATION,,PO BOX 520228,FLUSHING,NY,11352-0228,0,13,3,2000,197203,1,0,900000000,5,1,202312.0,9,9,1,0,12,465135109.0,270139271.0,22568066.0,,,
111631781,FLUSHING HOSPITAL & MEDICAL CENTER,,4500 PARSONS BLVD,FLUSHING,NY,11355-2205,0,3,3,1000,195302,1,12,150000000,1,1,202312.0,9,9,1,0,12,407880113.0,426789313.0,426195849.0,E220,,Health - General and Rehabilitative
112212659,ADDITIONAL SECURITY BENEFITS PLAN OF THE ELECTRICAL INDUSTRY,% JOINT IND BOARD OF THE ELEC IND,158 11 HARRY VAN ARSDALE JR AVE,FLUSHING,NY,11365-3085,0,9,3,1000,197001,2,0,264000000,2,1,202309.0,9,9,1,0,9,364720882.0,126706025.0,6308811.0,,,
510151311,ELECTRICAL EMPLOYERS SELF INSURANCE SAFETY PLAN,% THE JOINT INDUSTRY BOARD,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,198408,2,0,264279000,5,1,202312.0,9,9,1,0,12,318681579.0,212980175.0,96402737.0,,,
130891045,PENSION COMM JOINT INDUSTRY BOARD OF THE ELECTRICAL INDUSTRY,% HUMBERTO J RESTREPO,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,194410,2,0,268000000,5,1,202309.0,9,9,1,0,9,252335115.0,875562054.0,466330019.0,,,
133600807,CENTERLIGHT HEALTHCARE INC,% RICHARD ROSEN,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,199205,1,16,179153000,1,1,202312.0,9,9,1,0,12,205902796.0,646590314.0,646590314.0,E210,,Health - General and Rehabilitative
562489386,HEALTH REIMBURSEMENT ACCOUNT FUND OF THE ELECTRICAL INDUSTRY,% JOINT INDUSTRY BOARD,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,200506,2,0,0,2,1,202312.0,9,9,1,0,12,126454473.0,52253670.0,52253670.0,Y43,,"Mutual/Membership Benefit Organizations, Other"
116080521,QUEENS COLLEGE FOUNDATION INC,% MAUREEN GIANNOTTI,6530 KISSENA BLVD,FLUSHING,NY,11367-1575,0,3,3,2000,196703,1,15,161180059,1,1,202306.0,9,8,1,0,6,102852173.0,49635121.0,12520751.0,,,
112585905,DENTAL BENEFIT FUND OF THE ELECTRICAL INDUSTRY,% JT IND BOARD OF THE ELEC IND,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,9,3,1000,198410,2,0,263269000,1,1,202306.0,9,9,1,0,6,101484311.0,198368742.0,37265911.0,,,
116035960,EDUCATIONAL AND CULTURAL TRUST FUND OF THE ELECTRICAL INDUSTRY,% JOINT INDUSTRY BOARD,158-11 HARRY VAN ARSDALE JR AV,FLUSHING,NY,11365-3085,0,5,3,3000,196506,2,0,279000000,2,1,202309.0,9,9,1,0,9,80608199.0,102450996.0,22944112.0,,,
364941184,JOB SECURITY FUND OF THE ELECTRICIAN INDUSTRY,,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,5,3,3000,202009,2,0,0,2,1,202312.0,9,8,1,0,12,73469949.0,19438057.0,19438057.0,J40,GERALD FINKEL,"Employment, Job Related"
110757660,FLUSHING CEMETERY ASSOCIATION,,16306 46TH AVE,FLUSHING,NY,11358-3241,0,13,3,2000,193412,1,0,900000000,1,1,202312.0,9,8,1,0,12,69950837.0,17828977.0,5212280.0,,,
460833951,CL HEALTHCARE INC,% IRA GREEN,13665 37TH AVE,FLUSHING,NY,11354-4110,0,3,3,1000,201309,1,16,0,1,1,202312.0,9,9,1,0,12,67345564.0,329016701.0,329016701.0,X99,,"Religion Related, Spiritual Development"
135671180,ELECTRICAL WORKERS BENEFIT SOCIETY,,158-11 HARRY VAN ARSDALE JR AVENUE,FLUSHING,NY,11365-3085,0,5,3,1000,194909,2,0,265000000,5,1,202312.0,9,9,1,0,12,61657382.0,52155947.0,4204468.0,,,
